[real_seed_r2_2] === real seed 2, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_2] pilot 2 step   8600  lr=2.95e-03  loss=1.0359  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=720s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8700  lr=2.95e-03  loss=0.8525  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=728s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8800  lr=2.95e-03  loss=0.9779  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=736s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8900  lr=2.94e-03  loss=0.9083  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=745s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9000  lr=2.94e-03  loss=0.8068  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=752s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9100  lr=2.94e-03  loss=0.9447  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=763s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9200  lr=2.94e-03  loss=0.8937  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=771s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9300  lr=2.94e-03  loss=0.7871  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=779s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9400  lr=2.94e-03  loss=0.9058  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=787s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9500  lr=2.94e-03  loss=0.8690  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=795s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9600  lr=2.94e-03  loss=0.7815  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=804s  PASS  abstain_loss=0.0030  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9700  lr=2.93e-03  loss=0.9214  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=813s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9800  lr=2.93e-03  loss=0.8939  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=821s  PASS  abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   9900  lr=2.93e-03  loss=0.7921  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=831s  PASS  abstain_loss=0.0007  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10000  lr=2.93e-03  loss=0.8979  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=840s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10100  lr=2.93e-03  loss=0.8630  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=852s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10200  lr=2.93e-03  loss=0.7742  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=864s  PASS  abstain_loss=0.0008  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10300  lr=2.93e-03  loss=0.9721  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=874s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10400  lr=2.93e-03  loss=0.9090  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=883s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10500  lr=2.92e-03  loss=0.7795  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=891s  PASS  abstain_loss=0.0005  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10600  lr=2.92e-03  loss=0.9070  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=899s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10700  lr=2.92e-03  loss=0.8660  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=907s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10800  lr=2.92e-03  loss=0.7706  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=915s  PASS  abstain_loss=0.0027  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  10900  lr=2.92e-03  loss=0.8913  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=923s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  11000  lr=2.92e-03  loss=0.8506  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=932s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  11100  lr=2.91e-03  loss=0.7487  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=941s  PASS  abstain_loss=0.0008  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  11200  lr=2.91e-03  loss=0.8764  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=953s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step  11300  lr=2.91e-03  loss=0.8720  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=964s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
